Year,County,GEOID,Households,Poverty,ALICE,Above,ThresholdUnder65,Threshold65Plus
2010,Cleburne,05023,10782,1974,3266,5542,35000,30000
2012,Cleburne,05023,10018,1597,3019,5402,40000,30000
2014,Cleburne,05023,10292,1505,3345,5442,40000,35000
2016,Cleburne,05023,10360,1584,3169,5607,40000,35000
2018,Cleburne,05023,10731,1517,3168,6046,40000,35000
2019,Cleburne,05023,10783,1445,3425,5913,40000,40000
2021,Cleburne,05023,10664,1524,3351,5789,45000,45000
2022,Cleburne,05023,10626,1487,3494,5645,50581,46536
2023,Cleburne,05023,10458,1400,3389,5669,52744,47892
2024,Cleburne,05023,10522,1571,3197,5754,53229,46716
2010,Cleveland,05025,3309,539,1056,1714,35000,35000
2012,Cleveland,05025,3310,627,900,1783,35000,30000
2014,Cleveland,05025,3270,588,781,1901,35000,35000
2016,Cleveland,05025,3342,618,910,1814,40000,35000
2018,Cleveland,05025,3292,579,943,1770,40000,40000
2019,Cleveland,05025,3217,496,1026,1695,45000,40000
2021,Cleveland,05025,2745,391,1029,1325,60000,45000
2022,Cleveland,05025,2742,362,1140,1240,61236,49332
2023,Cleveland,05025,2793,417,1078,1298,57316,49728
2024,Cleveland,05025,2931,467,963,1501,55463,48276
2010,Columbia,05027,9400,2040,2180,5180,35000,25000
2012,Columbia,05027,9526,2414,2245,4867,35000,30000
2014,Columbia,05027,9509,2482,1896,5131,35000,30000
2016,Columbia,05027,9518,2409,2456,4653,40000,35000
2018,Columbia,05027,8962,2246,2692,4024,45000,35000
2019,Columbia,05027,8562,2100,2756,3706,50000,35000
2021,Columbia,05027,7768,1724,2916,3128,60000,40000
2022,Columbia,05027,7826,1629,2867,3330,60060,46212
2023,Columbia,05027,8361,1901,2638,3822,55167,47377
2024,Columbia,05027,8409,1807,2422,4180,55632,46272
2010,Conway,05029,8082,1475,2822,3785,35000,30000
2012,Conway,05029,8331,1872,2294,4165,35000,30000
2014,Conway,05029,8370,1708,2240,4422,35000,35000
2016,Conway,05029,8360,1725,2454,4181,40000,35000
2018,Conway,05029,8475,1505,2522,4448,40000,35000
2019,Conway,05029,8309,1418,2672,4219,45000,35000
2021,Conway,05029,8460,1587,2449,4424,45000,40000
2022,Conway,05029,8422,1692,2313,4417,48723,44307
2023,Conway,05029,8303,1759,2212,4332,49103,46848
2024,Conway,05029,8279,1750,2109,4420,51722,45624
2010,Craighead,05031,37167,8340,7233,21594,30000,30000
2012,Craighead,05031,38421,6355,7947,24119,35000,30000
2014,Craighead,05031,38548,8159,7889,22500,35000,35000
2016,Craighead,05031,39813,6694,10920,22199,40000,35000
2018,Craighead,05031,42631,7334,10599,24698,40000,35000
2019,Craighead,05031,41409,6135,13851,21423,45000,40000
2021,Craighead,05031,42186,8781,10773,22632,50000,40000
2022,Craighead,05031,44528,8002,10817,25709,51516,47012
2023,Craighead,05031,47150,7297,12801,27052,47634,49236
2024,Craighead,05031,46463,9433,11001,26029,51547,45520
2010,Crawford,05033,23095,3628,5829,13638,35000,30000
2012,Crawford,05033,23333,4064,6211,13058,35000,30000
2014,Crawford,05033,23490,4100,5806,13584,35000,35000
2016,Crawford,05033,23548,4253,6676,12619,40000,35000
2018,Crawford,05033,23701,3710,7419,12572,45000,40000
2019,Crawford,05033,23958,3961,6807,13190,45000,35000
2021,Crawford,05033,22748,3425,7278,12045,50000,45000
2022,Crawford,05033,22731,3449,7181,12101,55217,46416
2023,Crawford,05033,22994,3223,6785,12986,55407,47592
2024,Crawford,05033,23357,3100,6503,13754,55904,46164
2010,Crittenden,05035,18616,4664,5883,8069,40000,35000
2012,Crittenden,05035,18302,3981,5614,8707,40000,35000
2014,Crittenden,05035,18253,4057,6032,8164,45000,40000
2016,Crittenden,05035,18496,3864,6076,8556,45000,40000
2018,Crittenden,05035,18756,3468,6617,8671,45000,40000
2019,Crittenden,05035,19074,3593,6573,8908,45000,40000
2021,Crittenden,05035,18561,3348,6407,8806,50000,45000
2022,Crittenden,05035,18587,3556,6279,8752,56123,49363
2023,Crittenden,05035,18338,3633,5870,8835,58657,52315
2024,Crittenden,05035,18203,3587,6274,8342,63263,55908
2010,Cross,05037,6638,1262,1757,3619,35000,30000
2012,Cross,05037,6794,1225,1706,3863,35000,30000
2014,Cross,05037,6882,1449,1889,3544,35000,35000
2016,Cross,05037,6703,1298,1990,3415,40000,35000
2018,Cross,05037,6694,1091,2112,3491,45000,35000
2019,Cross,05037,6653,1149,1964,3540,45000,40000
2021,Cross,05037,6390,1267,2125,2998,50000,45000
2022,Cross,05037,6564,1495,1841,3228,50708,46680
2023,Cross,05037,6524,1555,1798,3171,50531,47532
2024,Cross,05037,6483,1403,1818,3262,52349,45187
2010,Dallas,05039,3160,696,1022,1442,35000,25000
2012,Dallas,05039,3128,704,1165,1259,40000,25000
2014,Dallas,05039,3322,513,1185,1624,35000,30000
2016,Dallas,05039,3222,451,1132,1639,35000,35000
2018,Dallas,05039,3033,481,1090,1462,40000,35000
2019,Dallas,05039,2969,579,1068,1322,45000,35000
2021,Dallas,05039,2326,470,891,965,50000,40000
2022,Dallas,05039,2289,354,966,969,60823,44238
2023,Dallas,05039,2425,407,987,1031,58970,46342
2024,Dallas,05039,2558,509,952,1097,52911,46812
2010,Desha,05041,5302,1427,1149,2726,30000,25000
2012,Desha,05041,5324,1594,1093,2637,30000,30000
2014,Desha,05041,5166,1593,1218,2355,35000,30000
2016,Desha,05041,5224,1564,1524,2136,35000,35000
2018,Desha,05041,5111,1378,1361,2372,35000,35000
2019,Desha,05041,5204,1372,1503,2329,40000,35000
2021,Desha,05041,4721,1125,1635,1961,45000,40000
2022,Desha,05041,4603,1087,1632,1884,52259,39788
2023,Desha,05041,4750,1342,1552,1856,48438,42546
2024,Desha,05041,4610,1271,1550,1789,49191,44848
2010,Drew,05043,7383,1708,2103,3572,35000,30000
2012,Drew,05043,7494,1707,2043,3744,35000,30000
2014,Drew,05043,7344,2140,1804,3400,35000,35000
2016,Drew,05043,7094,1881,1957,3256,40000,35000
2018,Drew,05043,7018,1644,1713,3661,45000,35000
2019,Drew,05043,7157,1498,1830,3829,45000,35000
2021,Drew,05043,6970,1323,2171,3476,45000,40000
2022,Drew,05043,6913,1328,2399,3186,51510,43888
2023,Drew,05043,7004,1477,2438,3089,51693,44405
2024,Drew,05043,7196,1497,2451,3248,50049,46382
2010,Faulkner,05045,42159,6766,9839,25554,35000,35000
2012,Faulkner,05045,43709,6859,10392,26458,40000,35000
2014,Faulkner,05045,42782,7001,11698,24083,45000,40000
2016,Faulkner,05045,43964,8837,11604,23523,45000,40000
2018,Faulkner,05045,43701,7841,13133,22727,50000,45000
2019,Faulkner,05045,47389,8833,11860,26696,50000,45000
2021,Faulkner,05045,48497,8339,12259,27899,50000,50000
2022,Faulkner,05045,49270,7808,13881,27581,57879,52704
2023,Faulkner,05045,50963,5689,12846,32428,52929,52284
2024,Faulkner,05045,50276,6835,12957,30484,56956,52272
2010,Franklin,05047,6741,1172,2316,3253,35000,30000
2012,Franklin,05047,6684,1167,1954,3563,35000,30000
2014,Franklin,05047,6783,1226,1726,3831,35000,35000
2016,Franklin,05047,6779,1384,1948,3447,40000,35000
2018,Franklin,05047,6800,1561,1730,3509,40000,35000
2019,Franklin,05047,6723,1539,1938,3246,45000,35000
2021,Franklin,05047,6718,1523,2053,3142,50000,40000
2022,Franklin,05047,6705,1403,2039,3263,53058,43917
2023,Franklin,05047,6878,1301,2164,3413,53641,47350
2024,Franklin,05047,7048,1343,2038,3667,53728,46137
2010,Fulton,05049,4823,963,1724,2136,35000,30000
2012,Fulton,05049,4865,892,1471,2502,35000,30000
2014,Fulton,05049,5312,1024,1237,3051,30000,30000
2016,Fulton,05049,5240,1042,1550,2648,35000,35000
2018,Fulton,05049,5000,1134,1424,2442,40000,35000
2019,Fulton,05049,4973,1073,1611,2289,45000,35000
2021,Fulton,05049,4636,953,1761,1922,50000,40000
2022,Fulton,05049,4780,907,1995,1878,52145,46308
2023,Fulton,05049,4808,867,2108,1833,52507,47544
2024,Fulton,05049,4757,945,1798,2014,54333,46044
2010,Garland,05051,38369,7160,10048,21161,35000,30000
2012,Garland,05051,40656,6814,10576,23266,35000,30000
2014,Garland,05051,39045,7521,10513,21011,40000,35000
2016,Garland,05051,39309,5762,11461,22086,40000,35000
2018,Garland,05051,40407,8097,12171,20139,45000,40000
2019,Garland,05051,41743,7567,10615,23561,45000,35000
2021,Garland,05051,42077,6146,13085,22846,45000,45000
2022,Garland,05051,45340,8614,11458,25268,49360,44264
2023,Garland,05051,45243,9264,12593,23386,49185,50050
2024,Garland,05051,44723,5701,13398,25624,52005,49008
2010,Grant,05053,6761,623,1564,4574,35000,30000
2012,Grant,05053,6697,622,1637,4438,35000,30000
2014,Grant,05053,6798,802,1956,4040,40000,30000
2016,Grant,05053,6869,880,1886,4103,40000,35000
2018,Grant,05053,6780,968,1783,4029,45000,35000
2019,Grant,05053,6863,983,1909,3971,50000,40000
2021,Grant,05053,6850,1051,1685,4114,50000,45000
2022,Grant,05053,6856,893,1894,4069,57652,47915
2023,Grant,05053,6955,877,1783,4295,55792,50340
2024,Grant,05053,6978,869,1852,4257,57709,48900
2010,Greene,05055,16420,2863,3441,10116,30000,30000
2012,Greene,05055,16660,2939,4577,9144,35000,30000
2014,Greene,05055,16610,2864,4142,9604,35000,30000
2016,Greene,05055,16766,2840,4724,9202,40000,35000
2018,Greene,05055,16879,2550,4252,10077,40000,35000
2019,Greene,05055,17254,2811,5161,9282,45000,40000
2021,Greene,05055,17583,2959,4735,9889,45000,45000
2022,Greene,05055,17741,3122,4753,9866,50472,46409
2023,Greene,05055,17926,3135,4513,10278,50680,46670
2024,Greene,05055,17994,3081,4657,10256,51799,47628
2010,Hempstead,05057,8636,2131,1969,4536,30000,30000
2012,Hempstead,05057,8513,2043,2523,3947,35000,30000
2014,Hempstead,05057,8115,1867,2726,3522,40000,35000
2016,Hempstead,05057,7729,1824,2393,3512,40000,35000
2018,Hempstead,05057,7971,1653,2425,3893,45000,35000
2019,Hempstead,05057,8094,1581,2328,4185,45000,35000
2021,Hempstead,05057,7566,1599,2320,3647,50000,40000
2022,Hempstead,05057,7355,1666,2507,3182,57226,43962
2023,Hempstead,05057,7454,1541,2483,3430,55998,45760
